epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_auc,val_auc
1,0.5336940884590149,0.44052696228027344,0.7037037014961243,0.7142857313156128,0.8111110925674438,0.925000011920929
2,0.38929805159568787,0.42101946473121643,0.7962962985038757,0.7857142686843872,0.8914530277252197,0.925000011920929
3,0.29607194662094116,0.3458722233772278,0.8888888955116272,0.7857142686843872,0.9658119678497314,0.925000011920929
4,0.29563966393470764,0.3146932125091553,0.8333333134651184,0.7857142686843872,0.928205132484436,0.949999988079071
5,0.29037994146347046,0.33607473969459534,0.9074074029922485,0.8571428656578064,0.9384615421295166,0.925000011920929
6,0.2046944499015808,0.2904365658760071,0.9629629850387573,0.8571428656578064,0.982905924320221,0.949999988079071
7,0.21572668850421906,0.272443026304245,0.9074074029922485,0.8571428656578064,0.9743589758872986,0.949999988079071
8,0.23717957735061646,0.2567726969718933,0.8888888955116272,0.8571428656578064,0.9478632807731628,0.949999988079071
9,0.24404390156269073,0.22129106521606445,0.9259259104728699,0.8571428656578064,0.9589743614196777,0.949999988079071
10,0.14285808801651,0.21899522840976715,0.9074074029922485,0.8571428656578064,0.9880341291427612,0.949999988079071
11,0.19154202938079834,0.16749730706214905,0.9259259104728699,0.9285714030265808,0.9709401726722717,0.9750000238418579
12,0.14320561289787292,0.13391317427158356,0.9444444179534912,0.9285714030265808,0.9863247871398926,0.987500011920929
13,0.26171743869781494,0.14479337632656097,0.9259259104728699,0.9285714030265808,0.9504272937774658,0.9750000238418579
14,0.14649784564971924,0.2432718127965927,0.9259259104728699,0.8571428656578064,0.9863247871398926,0.9624999761581421
15,0.1337728053331375,0.1453554332256317,0.9629629850387573,0.9285714030265808,0.9829059839248657,0.9750000238418579
16,0.10889965295791626,0.09309612214565277,0.9814814925193787,0.9285714030265808,0.9923076629638672,1.0
17,0.06702596694231033,0.046833336353302,0.9814814925193787,1.0,1.0,1.0
18,0.09963301569223404,0.05779310688376427,0.9814814925193787,1.0,0.9931623339653015,1.0
19,0.11297135800123215,0.04382829740643501,0.9444444179534912,1.0,0.9914529919624329,1.0
20,0.051166314631700516,0.09187592566013336,0.9814814925193787,0.9285714030265808,1.0,1.0
21,0.05520699918270111,0.13860900700092316,0.9629629850387573,0.9285714030265808,0.9991452693939209,1.0
22,0.1375572383403778,0.03701777011156082,0.9444444179534912,1.0,0.9837605953216553,1.0
23,0.042731672525405884,0.02209347113966942,1.0,1.0,1.0,1.0
24,0.07348588109016418,0.0392138734459877,0.9629629850387573,1.0,0.9948717355728149,1.0
25,0.08848527818918228,0.02464524284005165,0.9629629850387573,1.0,0.9965811371803284,1.0
26,0.05932913348078728,0.017026541754603386,0.9629629850387573,1.0,0.9999999403953552,1.0
27,0.1240130141377449,0.011766201816499233,0.9629629850387573,1.0,0.9888889193534851,1.0
28,0.03804050013422966,0.016594525426626205,1.0,1.0,1.0,1.0
29,0.028344282880425453,0.014766142703592777,0.9814814925193787,1.0,1.0,1.0
30,0.031161103397607803,0.0178876630961895,0.9814814925193787,1.0,0.9999999403953552,1.0
31,0.02984158881008625,0.03888682276010513,1.0,1.0,1.0,1.0
32,0.09144896268844604,0.046791914850473404,0.9444444179534912,1.0,0.9931623935699463,1.0
33,0.028896311298012733,0.016342341899871826,0.9814814925193787,1.0,0.9999999403953552,1.0
34,0.017664507031440735,0.014387913048267365,1.0,1.0,1.0,1.0
35,0.015315820463001728,0.012001360766589642,1.0,1.0,1.0,1.0
36,0.028991086408495903,0.053427018225193024,1.0,1.0,1.0,1.0
37,0.019789017736911774,0.020680585876107216,1.0,1.0,1.0,1.0
38,0.0112892622128129,0.017003029584884644,1.0,1.0,1.0,1.0
39,0.05479796603322029,0.26211684942245483,0.9814814925193787,0.9285714030265808,1.0,1.0
40,0.05072180926799774,0.11686736345291138,0.9629629850387573,0.9285714030265808,0.9999999403953552,1.0
41,0.05720369145274162,0.0025822327006608248,0.9629629850387573,1.0,0.9982906579971313,1.0
42,0.015636581927537918,0.0034109544940292835,1.0,1.0,1.0,1.0
43,0.007905609905719757,0.005158409476280212,1.0,1.0,1.0,1.0
44,0.007417300250381231,0.0037258267402648926,1.0,1.0,1.0,1.0
45,0.01430537924170494,0.0014398818602785468,1.0,1.0,1.0,1.0
46,0.012194824405014515,0.0013293478405103087,1.0,1.0,1.0,1.0
47,0.03474056348204613,0.008150025270879269,0.9814814925193787,1.0,1.0,1.0
48,0.030988816171884537,0.00941426120698452,0.9814814925193787,1.0,1.0,1.0
49,0.02802584134042263,0.0004571322933770716,0.9814814925193787,1.0,0.9999999403953552,1.0
50,0.02800753153860569,0.0019928114488720894,0.9814814925193787,1.0,1.0,1.0
51,0.027331897988915443,0.0005616507260128856,0.9814814925193787,1.0,1.0,1.0
52,0.006686232518404722,0.0008274077554233372,1.0,1.0,1.0,1.0
